what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366474116340
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366474117321
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366474120561
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474129164
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474131915
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474134603
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474153737
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474154148
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474157655
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366474161752
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474164458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474165688
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1366474165699
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474166752
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1366474166775
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366474168688
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474190273
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366474191949
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474194896
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1366474194967
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474195868
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366474202045
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474203539
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474203729
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366474206990
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474208698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474209191
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366474211099
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1366474214560
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1366474220846
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1366474224371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474225634
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474226063
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1366474229010
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474232603
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474233015
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1366474235817
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474236274
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474236648
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1366474238455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474239058
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474239273
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1366474241630
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474242098
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366474242337
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1366474244173
