what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731269255
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731274816
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366731274848
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731279245
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731280606
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731285725
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1366731285772
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731289982
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731291055
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731291779
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731305012
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731309165
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366731309256
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731326526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731327679
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731328779
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731334945
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1366731337014
activated,perspective,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugPerspective",1366731338107
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.BreakpointView",1366731341460
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731346556
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731364604
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1366731364628
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731366607
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731368618
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366731368711
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.navigate.openResource",1366731368727
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731370556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1366731370598
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731376394
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731382806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731383716
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366731386156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366731396785
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731400149
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731401221
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366731404180
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366731409039
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366731409217
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366731411122
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366731412509
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1366731419565
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1366731424296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731425340
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731425523
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1366731427670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366731430141
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366731432391
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1366731432543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1366731434309
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1366731435388
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1366731438540
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Terminate",1366731438624
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1366731439633
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366731439650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731443017
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731443992
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1366731443999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731444282
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731444340
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1366731444360
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731444860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731449027
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731459542
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731499600
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366731500446
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ResourceNavigator",1366731511553
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366731516497
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731519302
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731607588
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731657797
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1366731844738
